uuid,identifier,createdBy,createdAtGMT,modifiedBy,modifiedAtGMT,ID,FeatureAuthor,FeatureTimestamp,Latitude,Longitude,Northing,Easting,Accuracy,FeatureType,MapSymbol,Source,Note,GC,DateCompleted,Description,Classification,OtherDescription,Picture,geospatialcolumn
1.00005E+18,202005,Stephanie Black,2017-09-18 04:24:36.687 GMT,Stephanie Black,2017-09-18 04:24:44 GMT,202005,Stephanie Black,2017-09-18 07:24:29+03:00,42.16161741,26.0610461,4668147.299,422434.8006,,Mound,Hairy brown circle,TopomapRU 1:50k,2,No,18/09/2017,,,,,POINT(422434.800593 4668147.299329)
1.00003E+18,202215,Lachlan Hanley,2017-09-18 04:24:48.706 GMT,Lachlan Hanley,2017-09-18 04:24:48 GMT,202215,Lachlan Hanley,2017-09-18 07:24:36+03:00,42.65487667,26.16458655,4722828.853,431526.76,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(431526.760002 4722828.853323)
1.00003E+18,202216,Lachlan Hanley,2017-09-18 04:25:27.903 GMT,Lachlan Hanley,2017-09-18 04:25:27 GMT,202216,Lachlan Hanley,2017-09-18 07:25:18+03:00,42.65139699,26.15263114,4722452.212,430542.9775,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(430542.977546 4722452.212109)
1.00005E+18,202006,Stephanie Black,2017-09-18 04:25:34.996 GMT,Stephanie Black,2017-09-18 04:25:34 GMT,202006,Stephanie Black,2017-09-18 07:25:25+03:00,42.16284836,26.12376641,4668228.881,427617.4519,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(427617.451941 4668228.881354)
1.00003E+18,202217,Lachlan Hanley,2017-09-18 04:25:51.086 GMT,Lachlan Hanley,2017-09-18 04:25:51 GMT,202217,Lachlan Hanley,2017-09-18 07:25:40+03:00,42.64857731,26.14082606,4722148.873,429572.1531,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429572.153068 4722148.872534)
1.00005E+18,202007,Stephanie Black,2017-09-18 04:26:04.980 GMT,Stephanie Black,2017-09-18 04:26:15 GMT,202007,Stephanie Black,2017-09-18 07:25:58+03:00,42.1533358,26.12061199,4667175.352,427345.9933,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(427345.993258 4667175.351754)
1.00005E+18,202008,Stephanie Black,2017-09-18 04:26:43.764 GMT,Stephanie Black,2017-09-18 04:26:51 GMT,202008,Stephanie Black,2017-09-18 07:26:36+03:00,42.15813969,26.13023688,4667700.596,428146.6315,,Mound,Hairy black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428146.631529 4667700.595716)
1.00005E+18,202009,Stephanie Black,2017-09-18 04:27:10.240 GMT,Stephanie Black,2017-09-18 04:27:10 GMT,202009,Stephanie Black,2017-09-18 07:26:59+03:00,42.15562696,26.13033271,4667421.519,428151.7059,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428151.705873 4667421.518867)
1.00005E+18,202010,Stephanie Black,2017-09-18 04:27:49.626 GMT,Stephanie Black,2017-09-18 04:27:49 GMT,202010,Stephanie Black,2017-09-18 07:27:38+03:00,42.16194063,26.14004115,4668114.42,428960.8453,,Mound,Hairy brown circle,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(428960.845328 4668114.419681)
1.00003E+18,202218,Lachlan Hanley,2017-09-18 04:28:03.481 GMT,Lachlan Hanley,2017-09-18 04:28:03 GMT,202218,Lachlan Hanley,2017-09-18 07:27:53+03:00,42.64840634,26.11127404,4722154.923,427149.5109,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(427149.510945 4722154.922905)
1.00005E+18,202011,Stephanie Black,2017-09-18 04:28:22.578 GMT,Stephanie Black,2017-09-18 04:28:33 GMT,202011,Stephanie Black,2017-09-18 07:28:14+03:00,42.154414,26.15173689,4667269.046,429918.7051,,Mound,Black diamond with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(429918.705093 4667269.046041)
1.00003E+18,202219,Lachlan Hanley,2017-09-18 04:28:41.902 GMT,Lachlan Hanley,2017-09-18 04:28:41 GMT,202219,Lachlan Hanley,2017-09-18 07:28:32+03:00,42.65205773,26.05782325,4722607.816,422772.5385,,Mound,Black triangle with a dot inside,TopomapRU 1:50k,,No,18/09/2017,,,,,POINT(422772.538463 4722607.816496)
